학교명,시도,행정구,학교급,설립,지역규모,위도,경도,학생수,교원수,정규교원수,기간제교원수,직원수,교원1인당학생수,학생1인당교지면적,기간제비율,정규교원비율,직원당학생수,학생수_log,교지면적_log,cluster,cluster_type,최종유형,과밀score,소멸score,교원밀도_norm,기간제score,과밀등급,소멸등급,기간제등급,과밀target,소멸target,기간제target
귀래중학교,강원,원주시,중학교,사립,면지역,37.17136117,127.8849727,35.0,9.0,6.0,3.0,4.0,3.9,603.1,0.3333333333333333,0.6666666666666666,8.75,3.58351893845611,6.403739747144695,0,도심밀집형,과밀형,2.340662142029465,0.06388888888888888,0.13740458015267176,0.27455470737913484,일반,일반,일반,0,0,0
귀래초등학교,강원,원주시,초등학교,공립,면지역,37.16916835,127.8836318,36.0,12.0,12.0,0.0,10.0,3.0,491.3,0.0,1.0,3.6,3.6109179126442243,6.199088286764155,0,도심밀집형,과밀형,1.8008125126955108,0.05197505197505198,0.10305343511450381,0.03091603053435114,일반,일반,일반,0,0,0
근남초등학교,강원,철원군,초등학교,공립,특수지역,38.23838226,127.4700992,57.0,12.0,12.0,0.0,11.0,4.8,166.8,0.0,1.0,5.181818181818182,4.060443010546419,5.122772794033106,2,일반형,일반형,2.88238379022646,0.04708222811671088,0.1717557251908397,0.05152671755725191,일반,일반,일반,0,0,0
근덕초등학교,강원,삼척시,초등학교,공립,면지역,37.38092428,129.2244956,103.0,13.0,13.0,0.0,15.0,7.9,156.8,0.0,1.0,6.866666666666666,4.6443908991413725,5.061328408411774,2,일반형,일반형,4.742534854245881,0.04052197802197802,0.2900763358778626,0.08702290076335877,일반,일반,일반,0,0,0
근화초등학교,강원,춘천시,초등학교,공립,시,37.88852203,127.7229904,199.0,23.0,23.0,0.0,14.0,8.7,62.1,0.0,1.0,14.214285714285714,5.298317366548036,4.144720769547168,2,일반형,일반형,5.2263391442155305,0.02333333333333333,0.32061068702290074,0.09618320610687021,일반,일반,일반,0,0,0
금광초등학교,강원,강릉시,초등학교,공립,면지역,37.70388258,128.9135547,51.0,10.0,10.0,0.0,9.0,5.1,304.7,0.0,1.0,5.666666666666667,3.9512437185814275,5.722604228896789,0,도심밀집형,과밀형,3.061308472358521,0.05506993006993007,0.183206106870229,0.0549618320610687,일반,일반,일반,0,0,0
금대초등학교,강원,원주시,초등학교,공립,면지역,37.28882214,127.9973613,43.0,12.0,12.0,0.0,7.0,3.6,219.8,0.0,1.0,6.142857142857143,3.784189633918261,5.39725731440294,0,도심밀집형,과밀형,2.1618115942028986,0.04982517482517483,0.12595419847328246,0.03778625954198474,일반,일반,일반,0,0,0
금병초등학교,강원,춘천시,초등학교,공립,면지역,37.81475452,127.7147409,181.0,18.0,18.0,0.0,16.0,10.1,52.1,0.0,1.0,11.3125,5.204006687076795,3.9721769282478934,3,초과밀형,과밀형,6.067532956685499,0.029063042220936957,0.3740458015267175,0.11221374045801526,일반,일반,일반,0,0,0
금산초등학교,강원,춘천시,초등학교,공립,면지역,37.90346175,127.6993912,64.0,14.0,14.0,0.0,8.0,4.6,412.9,0.0,1.0,8.0,4.174387269895637,6.025624398754687,0,도심밀집형,과밀형,2.760966417008939,0.041025641025641026,0.16412213740458015,0.04923664122137404,일반,일반,일반,0,0,0
기린고등학교,강원,인제군,고등학교,공립,특수지역,37.94620605,128.31169,81.0,16.0,14.0,2.0,5.0,5.1,334.4,0.125,0.875,16.2,4.406719247264253,5.815323849389109,0,도심밀집형,과밀형,3.061192605843768,0.03550932568149211,0.183206106870229,0.1424618320610687,일반,일반,일반,0,0,0
기린초등학교,강원,인제군,초등학교,공립,특수지역,37.95832485,128.3194073,153.0,17.0,17.0,0.0,15.0,9.0,116.0,0.0,1.0,10.2,5.0369526024136295,4.762173934797756,2,일반형,일반형,5.403418803418803,0.031024531024531024,0.3320610687022901,0.09961832061068703,일반,일반,일반,0,0,0
기린초등학교진동분교장,강원,인제군,초등학교,공립,특수지역,38.01810769,128.4755403,9.0,2.0,2.0,0.0,1.0,4.5,904.6,0.0,1.0,9.0,2.302585092994046,6.808597707448919,0,도심밀집형,과밀형,2.700441696113074,0.21666666666666667,0.1603053435114504,0.04809160305343512,일반,TOP1,일반,0,1,0
김화고등학교,강원,철원군,고등학교,공립,특수지역,38.24404542,127.4333719,172.0,26.0,23.0,3.0,10.0,6.6,156.1,0.11538461538461539,0.8846153846153846,17.2,5.153291594497779,5.056882545261575,2,일반형,일반형,3.962546148949713,0.02140869192892314,0.24045801526717556,0.15290663534938342,일반,일반,일반,0,0,0
김화공업고등학교,강원,철원군,고등학교,공립,특수지역,38.24340756,127.4349464,98.0,26.0,21.0,5.0,8.0,3.8,255.1,0.19230769230769232,0.8076923076923077,12.25,4.59511985013459,5.54556799320548,2,일반형,일반형,2.281561889886763,0.02356902356902357,0.13358778625954199,0.17469172049324722,일반,일반,일반,0,0,0
김화초등학교,강원,철원군,초등학교,공립,특수지역,38.25264662,127.4138388,24.0,9.0,9.0,0.0,7.0,2.7,403.8,0.0,1.0,3.4285714285714284,3.2188758248682006,6.003393117973256,0,도심밀집형,과밀형,1.6209881422924903,0.07,0.0916030534351145,0.02748091603053435,일반,TOP5,일반,0,1,0
나전중학교,강원,정선군,중학교,공립,특수지역,37.44126381,128.6645315,23.0,9.0,8.0,1.0,4.0,2.6,669.0,0.1111111111111111,0.8888888888888888,5.75,3.1780538303479458,6.507277712385012,0,도심밀집형,과밀형,1.5605970149253732,0.07083333333333333,0.08778625954198474,0.10411365564037318,일반,TOP5,일반,0,1,0
남강초등학교,강원,강릉시,초등학교,공립,시,37.7670985,128.9146306,133.0,13.0,13.0,0.0,11.0,10.2,59.6,0.0,1.0,12.090909090909092,4.897839799950911,4.104294893075269,2,일반형,일반형,6.126600660066006,0.0394456289978678,0.3778625954198473,0.11335877862595418,일반,일반,일반,0,0,0
